Year;Location_Code;District;Municipality;Parish;Sex;Age;Population;Notes;Population_corrected
2021;61513;Coimbra;Soure;União das freguesias de Degracias e Pombalinho;M;25 - 64 year old;229;;229
2021;90502;Guarda;Fornos de Algodres;Casal Vasco;M;0 - 14 year old;10;;10
2021;120601;Portalegre;Crato;Aldeia da Mata;F;65 and older;110;;110
2021;90617;Guarda;Gouveia;São Paio;M;15 - 24 year old;29;;29
2021;171216;Vila Real;Valpaços;Possacos;M;65 and older;63;;63
2021;81201;Faro;São Brás de Alportel;São Brás de Alportel;M;0 - 14 year old;779;;779
2021;151006;Setúbal;Seixal;Fernão Ferro;F;65 and older;2397;;2397
2021;171102;Vila Real;Santa Marta de Penaguião;Cumieira;M;65 and older;147;;147
2021;21402;Beja;Vidigueira;Selmes;F;0 - 14 year old;38;;38
2021;71402;Évora;Vila Viçosa;Ciladas;M;0 - 14 year old;18;;18
2021;70105;Évora;Alandroal;Terena (São Pedro);M;25 - 64 year old;167;;167
2021;90304;Guarda;Celorico da Beira;Carrapichana;M;65 and older;37;;37
2021;40120;Bragança;Alfândega da Fé;Vilares de Vilariça;M;65 and older;27;;27
2021;171302;Vila Real;Vila Pouca de Aguiar;Alfarela de Jales;M;0 - 14 year old;13;;13
2021;11203;Aveiro;Murtosa;Murtosa;M;0 - 14 year old;232;;232
2021;40248;Bragança;Bragança;Sortes;M;0 - 14 year old;15;;15
2021;30215;Braga;Barcelos;Barqueiros;F;25 - 64 year old;498;;498
2021;30527;Braga;Celorico de Basto;União das freguesias de Veade, Gagos e Molares;F;0 - 14 year old;101;;101
2021;31359;Braga;Vila Verde;Aboim da Nóbrega e Gondomar;F;25 - 64 year old;219;;219
2021;430209;Ilha Terceira;Vila da Praia da Vitória;São Brás;F;25 - 64 year old;302;;302
2021;170353;Vila Real;Chaves;Planalto de Monforte (União das freguesias de Oucidres e Bobadela);F;0 - 14 year old;5;;5
2021;61513;Coimbra;Soure;União das freguesias de Degracias e Pombalinho;M;15 - 24 year old;41;;41
2021;170353;Vila Real;Chaves;Planalto de Monforte (União das freguesias de Oucidres e Bobadela);M;65 and older;59;;59
2021;30216;Braga;Barcelos;Cambeses;F;0 - 14 year old;69;;69
2021;170625;Vila Real;Montalegre;Reigoso;M;65 and older;30;;30
2021;460304;Ilha do Pico;São Roque do Pico;Santo António;F;0 - 14 year old;47;;47
2021;60601;Coimbra;Góis;Alvares;M;25 - 64 year old;125;;125
2021;20510;Beja;Beja;Santa Clara de Louredo;F;0 - 14 year old;43;;43
2021;420404;Ilha de São Miguel;Povoação;Nossa Senhora dos Remédios;F;0 - 14 year old;66;;66
2021;60802;Coimbra;Mira;Seixo;F;65 and older;279;;279
2021;480103;Ilha das Flores;Lajes das Flores;Fazenda;F;65 and older;24;;24
2021;90729;Guarda;Guarda;Pega;M;0 - 14 year old;5;;5
2021;20522;Beja;Beja;União das freguesias de Salvada e Quintos;F;25 - 64 year old;274;;274
2021;30615;Braga;Esposende;Vila Chã;F;65 and older;157;;157
2021;110922;Lisboa;Mafra;União das freguesias de Venda do Pinheiro e Santo Estêvão das Galés;F;25 - 64 year old;3045;;3045
2021;41238;Bragança;Vinhais;União das freguesias de Nunes e Ousilhão;F;0 - 14 year old;3;;3
2021;142105;Santarém;Ourém;Espite;F;25 - 64 year old;221;;221
2021;30501;Braga;Celorico de Basto;Agilde;M;25 - 64 year old;325;;325
2021;160507;Viana do Castelo;Paredes de Coura;Cunha;F;15 - 24 year old;18;;18
2021;180304;Viseu;Castro Daire;Castro Daire;M;0 - 14 year old;301;;301
2021;181511;Viseu;São João da Pesqueira;Vale de Figueira;M;25 - 64 year old;92;;92
2021;0302FF;Braga;Barcelos;União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;F;25 - 64 year old;380;;380
2021;430114;Ilha Terceira;Angra do Heroísmo;São Bartolomeu de Regatos;M;15 - 24 year old;111;;111
2021;171410;Vila Real;Vila Real;Guiães;F;65 and older;67;;67
2021;50914;Castelo Branco;Sertã;Várzea dos Cavaleiros;M;25 - 64 year old;139;;139
2021;131433;Porto;Santo Tirso;União das freguesias de Areias, Sequeiró, Lama e Palmeira;F;65 and older;985;;985
2021;10611;Aveiro;Castelo de Paiva;União das freguesias de Sobrado e Bairros;M;0 - 14 year old;303;;303
2021;30739;Braga;Fafe;União de freguesias de Antime e Silvares (São Clemente);F;0 - 14 year old;105;;105
2021;101518;Leiria;Pombal;União das freguesias de Guia, Ilha e Mata Mourisca;M;65 and older;754;;754
2021;182322;Viseu;Viseu;Ribafeita;F;0 - 14 year old;31;;31
2021;121502;Portalegre;Sousel;Casa Branca;M;15 - 24 year old;42;;42
2021;180702;Viseu;Moimenta da Beira;Alvite;F;0 - 14 year old;39;;39
2021;160320;Viana do Castelo;Melgaço;União das freguesias de Chaviães e Paços;M;15 - 24 year old;11;;11
2021;141819;Santarém;Tomar;União das freguesias de Madalena e Beselga;M;65 and older;453;;453
2021;61617;Coimbra;Tábua;União das freguesias de Covas e Vila Nova de Oliveirinha;M;25 - 64 year old;310;;310
2021;31013;Braga;Terras de Bouro;Rio Caldo;F;0 - 14 year old;39;;39
2021;110708;Lisboa;Loures;Lousa;M;15 - 24 year old;171;;171
2021;41009;Bragança;Vila Flor;Roios;F;65 and older;30;;30
2021;30268;Braga;Barcelos;Galegos (Santa Maria);M;15 - 24 year old;183;;183
2021;140206;Santarém;Alcanena;Minde;F;0 - 14 year old;170;;170
2021;130338;Porto;Felgueiras;União das freguesias de Unhão e Lordelo;M;15 - 24 year old;77;;77
2021;30705;Braga;Fafe;Armil;F;15 - 24 year old;36;;36
2021;141002;Santarém;Entroncamento;Nossa Senhora de Fátima;M;65 and older;963;;963
2021;131632;Porto;Vila do Conde;União das freguesias de Fornelo e Vairão;F;25 - 64 year old;675;;675
2021;181210;Viseu;Penedono;União das freguesias de Antas e Ourozinho;F;15 - 24 year old;10;;10
2021;31370;Braga;Vila Verde;Vila Verde e Barbudo;F;0 - 14 year old;533;;533
2021;131723;Porto;Vila Nova de Gaia;Vilar de Andorinho;M;15 - 24 year old;1098;;1098
2021;71402;Évora;Vila Viçosa;Ciladas;M;15 - 24 year old;39;;39
2021;91412;Guarda;Vila Nova de Foz Côa;Santa Comba;M;0 - 14 year old;2;;2
2021;30265;Braga;Barcelos;Rio Covo (Santa Eugénia);F;15 - 24 year old;98;;98
2021;80103;Faro;Albufeira;Paderne;M;0 - 14 year old;207;;207
2021;10907;Aveiro;Santa Maria da Feira;Fiães;F;65 and older;1001;;1001
2021;440104;Ilha da Graciosa;Santa Cruz da Graciosa;Santa Cruz da Graciosa;M;0 - 14 year old;141;;141
2021;101616;Leiria;Porto de Mós;União das freguesias de Arrimal e Mendiga;M;15 - 24 year old;116;;116
2021;182335;Viseu;Viseu;União das freguesias de Barreiros e Cepões;M;0 - 14 year old;51;;51
2021;150902;Setúbal;Santiago do Cacém;Alvalade;M;65 and older;257;;257
2021;50427;Castelo Branco;Fundão;Telhado;M;65 and older;83;;83
2021;70515;Évora;Évora;Canaviais;F;0 - 14 year old;209;;209
2021;130608;Porto;Maia;Milheirós;F;0 - 14 year old;303;;303
2021;160124;Viana do Castelo;Arcos de Valdevez;Paçô;M;15 - 24 year old;50;;50
2021;11504;Aveiro;Ovar;Maceda;F;65 and older;430;;430
2021;110107;Lisboa;Alenquer;Meca;F;0 - 14 year old;102;;102
2021;130223;Porto;Baião;União das freguesias de Campelo e Ovil;F;25 - 64 year old;1077;;1077
2021;450201;Ilha de São Jorge;Velas;Manadas (Santa Bárbara);M;65 and older;39;;39
2021;141813;Santarém;Tomar;São Pedro de Tomar;F;15 - 24 year old;98;;98
2021;80103;Faro;Albufeira;Paderne;M;65 and older;433;;433
2021;10913;Aveiro;Santa Maria da Feira;Lourosa;F;15 - 24 year old;433;;433
2021;110660;Lisboa;Lisboa;Estrela;M;0 - 14 year old;1518;;1518
2021;91032;Guarda;Pinhel;Alto do Palurdo;M;25 - 64 year old;41;;41
2021;31014;Braga;Terras de Bouro;Souto;M;25 - 64 year old;121;;121
2021;50808;Castelo Branco;Proença-a-Nova;União das freguesias de Sobreira Formosa e Alvito da Beira;F;0 - 14 year old;42;;42
2021;40248;Bragança;Bragança;Sortes;F;15 - 24 year old;13;;13
2021;30201;Braga;Barcelos;Abade de Neiva;M;25 - 64 year old;540;;540
2021;81305;Faro;Silves;São Bartolomeu de Messines;M;15 - 24 year old;381;;381
2021;91416;Guarda;Vila Nova de Foz Côa;Touça;F;25 - 64 year old;45;;45
2021;11310;Aveiro;Oliveira de Azeméis;Ossela;M;25 - 64 year old;506;;506
